"parcel","year","transect","data_source","reference_group"
"PLC227",2023,"16","reference","LAW118/129"
"PLC227",2023,"17","reference","LAW118/129"
"PLC227",2023,"18","reference","LAW118/129"
"PLC227",2023,"19","reference","LAW118/129"
"PLC227",2023,"2","reference","LAW118/129"
"PLC227",2023,"20","reference","LAW118/129"
"PLC227",2023,"21","reference","LAW118/129"
"PLC227",2023,"22","reference","LAW118/129"
"PLC227",2023,"23","reference","LAW118/129"
"PLC227",2023,"24","reference","LAW118/129"
"PLC227",2023,"25","reference","LAW118/129"
"PLC227",2023,"26","reference","LAW118/129"
"PLC227",2023,"27","reference","LAW118/129"
"PLC227",2023,"28","reference","LAW118/129"
"PLC227",2023,"29","reference","LAW118/129"
"PLC227",2023,"3","reference","LAW118/129"
"PLC227",2023,"30","reference","LAW118/129"
"PLC227",2023,"31","reference","LAW118/129"
"PLC227",2023,"32","reference","LAW118/129"
"PLC227",2023,"4","reference","LAW118/129"
"PLC227",2023,"5","reference","LAW118/129"
"PLC227",2023,"6","reference","LAW118/129"
"PLC227",2023,"7","reference","LAW118/129"
"PLC227",2023,"8","reference","LAW118/129"
"PLC227",2023,"9","reference","LAW118/129"
"PLC227",2025,"10a","reference","LAW118/129"
"PLC227",2025,"1d","reference","LAW118/129"
"PLC227",2025,"2a","reference","LAW118/129"
